,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Converted,City_encoded,lead origin encoded,lead sources encoded,last activity encoded,lead quality encoded,last notable activity encoded,copy of interview encoded,do not email encoded
1345,11.0,608,11.0,1,0,1,7,12,3,12,1,0
1346,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1347,0.0,0,0.0,1,0,0,6,5,3,4,0,0
1348,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1349,11.0,1236,11.0,0,0,1,1,12,3,8,1,0
1350,6.0,1689,6.0,1,1,1,11,5,2,4,1,0
1351,4.0,322,4.0,0,4,1,1,12,2,12,1,0
1352,6.0,1408,3.0,1,0,0,1,5,2,4,0,0
1353,2.0,59,2.0,0,0,0,3,5,3,4,0,0
1354,0.0,0,0.0,1,0,2,14,5,3,4,0,0
1355,0.0,0,0.0,1,0,0,6,3,3,2,0,0
1356,8.0,550,2.67,0,3,1,7,5,3,4,1,0
1357,2.0,963,2.0,0,4,1,1,5,3,4,1,0
1358,2.0,923,1.0,1,0,0,3,5,3,4,0,0
1359,4.0,1121,4.0,1,0,1,7,12,3,12,0,0
1360,6.0,1366,6.0,1,0,0,3,12,3,12,0,0
1361,2.0,77,2.0,0,1,1,1,5,3,4,1,0
1362,5.0,274,2.5,0,0,0,6,10,3,10,0,0
1363,4.0,446,1.33,0,0,0,1,5,3,4,0,0
1364,2.0,972,1.0,1,0,0,3,5,3,4,0,0
1365,0.0,0,0.0,1,0,2,14,5,3,8,0,0
1366,0.0,0,0.0,0,0,0,6,9,3,9,0,0
1367,7.0,252,2.33,0,4,1,1,5,2,4,1,0
1368,3.0,1346,3.0,1,0,1,1,5,0,4,0,0
1369,2.0,1108,2.0,1,0,0,3,1,3,8,0,0
1370,0.0,0,0.0,1,0,0,6,5,3,8,0,0
1371,2.0,1606,2.0,1,0,0,3,5,3,4,0,0
1372,5.0,1209,5.0,0,0,1,3,5,3,4,0,0
1373,3.0,315,3.0,0,3,1,3,5,3,4,0,0
1374,6.0,1552,1.5,1,0,0,3,5,3,4,1,0
1375,5.0,88,1.67,0,4,1,1,5,3,4,1,0
1376,4.0,185,4.0,0,0,0,3,10,3,8,0,0
1377,2.0,485,2.0,1,0,0,3,5,0,4,0,0
1378,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1379,8.0,103,2.67,1,0,1,1,12,2,12,0,0
1380,2.0,816,2.0,1,1,1,1,5,3,4,1,0
1381,3.0,1319,3.0,1,0,0,3,5,3,4,0,0
1382,3.0,240,3.0,0,1,1,3,5,3,4,0,0
1383,0.0,0,0.0,1,0,0,6,5,3,4,0,0
1384,5.0,286,5.0,0,4,1,3,5,3,4,0,0
1385,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1386,0.0,0,0.0,1,0,2,14,12,3,8,0,0
1387,0.0,0,0.0,1,0,2,14,12,3,12,0,0
1388,2.0,2020,2.0,1,0,0,3,5,3,4,0,0
1389,3.0,212,3.0,0,0,1,1,5,3,4,1,0
1390,2.0,880,2.0,1,0,0,3,5,0,4,0,0
1391,5.0,1369,2.5,0,2,1,3,2,3,1,0,1
1392,3.0,172,3.0,0,1,1,3,7,3,8,0,0
1393,3.0,429,2.0,1,0,2,14,5,3,8,0,0
1394,2.0,14,2.0,0,0,1,3,5,3,4,0,0
1395,3.0,186,2.0,1,0,2,10,5,1,8,0,0
1396,2.0,861,2.0,1,0,1,3,12,2,12,0,0
1397,0.0,0,0.0,1,0,2,14,5,3,4,0,0
1398,2.0,640,1.0,1,0,0,3,5,1,4,0,0
1399,3.0,580,1.5,0,4,1,1,5,3,4,1,0
1400,2.0,1603,2.0,0,4,1,1,10,3,8,1,0
1401,3.0,1459,3.0,1,0,0,3,5,3,4,0,0
1402,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1403,3.0,359,3.0,1,0,1,3,12,2,12,0,0
1404,5.0,100,5.0,1,0,1,1,12,2,12,1,0
1405,3.0,423,3.0,1,0,1,3,12,3,12,0,0
1406,0.0,0,0.0,1,0,2,10,5,0,4,0,0
1407,2.0,1520,2.0,1,0,0,3,12,3,12,0,0
1408,4.0,1360,4.0,1,0,1,3,12,2,12,0,0
1409,2.0,2,2.0,0,1,1,1,12,2,8,1,0
1410,5.0,294,5.0,0,3,1,7,5,3,4,1,0
1411,4.0,1261,4.0,1,0,1,3,7,2,8,0,0
1412,3.0,135,1.5,0,0,0,6,3,3,2,0,0
1413,4.0,1805,4.0,0,0,1,3,5,3,4,0,0
1414,4.0,110,2.0,0,0,1,3,12,3,12,0,0
1415,3.0,42,1.5,0,0,1,1,5,3,4,1,0
1416,0.0,0,0.0,1,0,2,10,12,3,12,0,0
1417,5.0,45,5.0,0,0,0,7,5,3,4,0,0
1418,1.0,866,1.0,0,0,1,3,2,3,8,0,1
1419,7.0,938,7.0,1,0,1,3,5,3,8,0,0
1420,8.0,397,2.0,0,4,0,3,9,3,9,0,0
1421,5.0,1084,5.0,1,0,0,7,9,3,8,0,0
1422,6.0,148,3.0,0,0,1,3,12,3,8,0,1
1423,2.0,1345,2.0,1,0,0,3,5,2,4,0,0
1424,4.0,1709,4.0,1,0,1,1,12,3,12,1,0
1425,4.0,1588,4.0,1,0,1,3,12,2,12,0,0
1426,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1427,3.0,533,1.5,0,0,0,1,5,3,8,0,0
1428,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1429,2.0,1288,2.0,0,0,1,3,5,3,4,0,0
1430,6.0,95,2.0,0,0,1,1,5,3,4,1,0
1431,4.0,12,1.33,0,0,0,3,10,3,10,0,0
1432,11.0,1054,2.75,1,1,1,7,5,3,4,1,0
1433,4.0,664,2.0,1,0,1,1,5,2,4,1,0
1434,3.0,336,1.5,0,0,1,3,5,3,4,0,0
1435,2.0,291,2.0,0,4,1,1,12,3,12,0,0
1436,4.0,1688,4.0,1,2,1,3,5,1,4,0,0
1437,10.0,1467,10.0,1,4,1,3,5,0,4,1,0
1438,8.0,419,8.0,0,0,1,7,3,1,2,1,0
1439,4.0,427,4.0,1,4,0,3,5,2,4,0,0
1440,5.0,294,5.0,0,3,0,3,5,3,4,0,0
1441,6.0,529,3.0,0,4,0,3,5,3,4,0,0
1442,2.0,1296,2.0,1,4,1,3,1,3,8,0,0
1443,2.0,139,1.0,0,0,0,6,5,3,4,0,0
1444,3.0,1683,3.0,1,0,1,3,5,0,4,0,0
1445,1.0,254,1.0,0,0,0,3,1,1,8,0,0
1446,3.0,1223,3.0,1,2,1,1,5,0,4,1,0
1447,2.0,940,2.0,1,0,1,1,12,2,12,1,0
1448,5.0,9,5.0,0,0,1,3,12,2,8,0,0
1449,2.0,270,2.0,0,4,1,1,5,3,4,1,0
1450,5.0,1323,2.5,1,1,0,3,12,2,12,0,0
1451,4.0,469,4.0,0,0,1,3,5,3,4,0,0
1452,6.0,326,3.0,0,0,0,3,5,3,4,1,0
1453,4.0,45,4.0,0,0,0,3,5,4,8,0,0
1454,6.0,1975,6.0,1,0,1,3,3,1,2,0,0
1455,4.0,1064,4.0,0,0,1,3,5,2,4,0,0
1456,6.0,1681,6.0,1,0,1,3,5,2,4,0,0
1457,0.0,0,0.0,0,0,0,6,5,3,8,0,0
1458,2.0,1545,2.0,1,0,1,1,5,1,4,1,0
1459,20.0,1165,2.5,0,0,0,1,5,3,8,0,0
1460,0.0,0,0.0,1,0,0,6,9,3,8,0,0
1461,5.0,71,5.0,0,0,0,3,9,3,8,0,0
1462,6.0,1152,3.0,0,0,1,3,12,3,12,0,0
1463,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1464,1.0,211,1.0,0,0,1,1,1,3,8,1,0
1465,4.0,367,4.0,0,0,1,3,5,3,8,0,0
1466,2.0,942,2.0,0,0,0,3,12,4,8,0,0
1467,4.0,894,4.0,1,4,1,3,12,2,12,0,0
1468,2.0,1132,1.0,1,0,0,3,5,2,4,0,0
1469,3.0,941,3.0,1,0,1,1,5,3,4,1,0
1470,8.0,234,4.0,1,0,0,7,12,2,12,0,0
1471,4.0,1075,4.0,0,3,1,7,5,3,4,1,0
1472,6.0,153,3.0,0,0,1,3,5,3,4,0,0
1473,5.0,1275,2.5,1,2,1,1,5,2,4,1,0
1474,2.0,1322,2.0,0,0,0,3,5,3,4,0,0
1475,3.0,1210,3.0,1,0,0,3,5,2,4,0,0
1476,5.0,211,5.0,0,0,1,7,5,2,4,1,0
1477,1.0,147,1.0,0,0,0,3,1,3,8,0,0
1478,7.0,67,7.0,0,3,1,3,5,1,8,1,0
1479,6.0,938,6.0,1,0,1,3,5,0,4,1,0
1480,0.0,0,0.0,0,0,0,6,3,3,8,0,0
1481,1.0,832,1.0,1,4,0,6,5,2,4,1,0
1482,3.0,352,3.0,0,0,1,3,5,3,4,0,0
1483,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1484,4.0,125,4.0,0,4,1,3,12,3,8,0,1
1485,3.0,258,3.0,0,1,1,1,5,3,4,0,0
1486,2.0,51,2.0,0,0,1,1,5,3,4,1,0
1487,3.0,15,1.5,0,0,0,6,5,3,4,1,0
1488,1.0,993,1.0,1,0,1,1,1,2,8,1,0
1489,2.0,883,2.0,0,3,1,1,5,3,4,1,0
1490,5.0,1513,5.0,1,0,1,1,5,1,4,1,0
1491,12.0,339,6.0,0,0,1,7,5,3,4,1,0
1492,3.0,30,1.5,0,0,1,1,5,3,4,1,0
1493,5.0,353,5.0,0,4,0,3,5,3,4,0,0
1494,0.0,0,0.0,0,0,0,6,9,4,8,0,0
1495,2.0,279,2.0,0,0,0,3,5,3,4,0,0
1496,5.0,387,5.0,0,1,1,1,5,3,4,1,0
1497,3.0,37,3.0,0,1,1,1,5,3,4,1,0
1498,9.0,413,4.5,0,1,0,7,5,3,4,1,0
1499,10.0,68,5.0,0,0,1,1,5,3,4,1,0
1500,6.0,983,2.0,1,0,0,6,5,3,4,1,0
1501,3.0,40,3.0,0,1,1,1,5,3,4,1,0
1502,5.0,1489,5.0,1,0,1,3,12,2,12,0,0
1503,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1504,3.0,250,3.0,0,0,1,1,12,4,8,1,0
1505,6.0,101,6.0,0,0,1,3,10,2,10,0,0
1506,16.0,1059,3.2,1,0,0,3,10,2,10,0,0
1507,5.0,312,2.5,0,0,1,3,5,1,4,1,0
1508,4.0,320,4.0,0,0,1,3,5,3,4,1,0
1509,3.0,784,3.0,1,0,1,3,1,2,8,0,0
1510,2.0,969,1.0,1,0,0,3,5,1,4,0,0
1511,4.0,1184,2.0,1,0,0,3,5,0,4,0,0
1512,4.0,995,1.33,1,0,0,3,5,1,4,0,0
1513,6.0,481,6.0,0,0,0,3,5,3,8,0,0
1514,3.0,42,1.5,0,0,0,3,5,3,4,0,0
1515,4.0,1596,4.0,0,0,1,1,12,2,8,0,1
1516,3.0,7,3.0,0,0,0,3,12,3,12,0,0
1517,11.0,374,11.0,1,0,1,7,5,2,4,1,0
1518,4.0,688,2.0,1,0,1,3,5,1,4,0,0
1519,5.0,30,5.0,0,0,1,3,5,3,4,0,0
1520,12.0,348,3.0,0,0,1,3,1,4,8,0,0
1521,2.0,118,2.0,1,2,1,1,12,2,12,1,0
1522,3.0,1024,1.5,1,2,1,1,5,0,4,1,0
1523,3.0,1344,3.0,0,0,0,3,5,3,4,0,0
1524,2.0,127,2.0,0,0,0,3,12,2,8,0,0
1525,3.0,783,3.0,0,0,1,3,5,2,4,0,0
1526,4.0,152,4.0,0,0,0,3,15,3,8,0,0
1527,4.0,847,4.0,1,0,1,3,5,0,4,0,0
1528,4.0,1017,4.0,1,0,1,3,12,2,12,0,0
1529,4.0,1337,4.0,1,0,1,3,5,3,4,0,0
1530,8.0,367,2.67,0,2,1,3,12,2,8,0,0
1531,6.0,90,3.0,0,1,1,3,9,3,8,1,0
1532,0.0,0,0.0,0,0,0,6,9,4,8,0,0
1533,9.0,186,9.0,0,3,1,7,13,3,13,1,0
1534,2.0,1978,2.0,0,0,0,7,12,3,8,0,0
1535,5.0,777,5.0,1,0,1,3,10,0,10,0,1
1536,0.0,0,0.0,1,0,2,10,12,0,8,0,0
1537,3.0,31,3.0,1,3,1,1,5,2,4,0,0
1538,0.0,0,0.0,0,0,0,6,9,4,8,0,0
1539,4.0,62,4.0,1,0,1,3,3,2,2,0,0
1540,2.0,931,2.0,1,0,1,1,5,1,8,1,0
1541,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1542,4.0,1272,4.0,1,0,0,3,12,2,12,0,0
1543,5.0,324,2.5,0,0,0,3,5,3,8,0,0
1544,6.0,277,6.0,0,0,1,3,5,3,4,0,0
1545,0.0,0,0.0,0,0,0,6,2,3,8,0,1
1546,4.0,1381,4.0,1,0,1,3,5,3,4,1,0
1547,2.0,535,1.0,0,0,0,3,9,3,8,0,0
1548,3.0,1835,2.0,1,0,2,10,5,2,8,0,0
1549,2.0,942,2.0,1,0,0,12,9,2,8,0,0
1550,0.0,0,0.0,1,0,2,10,5,1,8,0,0
1551,6.0,326,6.0,0,3,1,1,5,3,8,1,0
1552,2.0,1429,2.0,1,0,0,3,12,2,12,0,0
1553,4.0,1205,2.0,1,0,1,3,5,0,4,0,0
1554,2.0,96,2.0,0,0,0,3,2,3,8,0,1
1555,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1556,6.0,5,3.0,0,1,1,7,5,3,4,0,0
1557,4.0,1245,2.0,1,0,0,3,12,3,12,0,0
1558,2.0,1101,1.0,1,0,0,3,12,2,8,0,0
1559,2.0,826,1.0,1,0,2,10,7,2,8,1,0
1560,3.0,430,1.5,1,0,0,6,5,2,4,1,0
1561,0.0,0,0.0,1,0,2,10,5,2,4,0,0
1562,2.0,345,2.0,1,0,0,7,8,0,8,0,0
1563,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1564,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1565,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1566,14.0,1241,3.5,1,0,1,3,5,2,4,0,0
1567,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1568,0.0,0,0.0,1,0,2,10,12,0,8,0,0
1569,0.0,0,0.0,1,0,2,3,12,2,12,0,0
1570,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1571,0.0,0,0.0,1,0,0,6,12,2,12,0,0
1572,0.0,0,0.0,1,0,2,10,5,2,4,0,0
1573,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1574,3.0,759,2.0,1,0,2,10,5,2,8,0,0
1575,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1576,6.0,1178,3.0,0,0,0,3,5,3,4,0,0
1577,0.0,0,0.0,1,4,2,10,5,1,4,0,0
1578,0.0,0,0.0,1,0,2,10,12,2,8,0,0
1579,4.0,222,1.33,0,0,1,3,3,3,8,1,0
1580,17.0,104,3.4,0,0,1,1,5,3,4,1,0
1581,6.0,251,6.0,1,3,1,3,12,2,12,0,0
1582,7.0,84,1.75,0,4,1,3,5,3,4,1,0
1583,2.0,1615,2.0,0,0,0,3,5,3,8,0,0
1584,2.0,416,1.0,0,0,0,3,12,2,8,0,0
1585,0.0,0,0.0,1,0,2,10,12,2,12,0,0
1586,3.0,926,3.0,1,0,0,7,12,3,12,0,0
1587,2.0,360,2.0,0,0,0,3,12,2,8,0,0
1588,2.0,1794,2.0,1,0,0,3,12,3,12,0,0
1589,2.0,850,2.0,1,1,1,1,5,3,4,0,0
1590,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1591,2.0,1069,2.0,1,0,0,3,5,2,4,0,0
1592,2.0,326,2.0,0,3,1,1,5,1,8,1,0
1593,2.0,1458,1.0,0,0,1,3,2,3,8,1,0
1594,3.0,1389,3.0,1,0,1,1,3,1,2,1,0
1595,4.0,1171,4.0,1,4,1,7,5,1,8,0,0
1596,2.0,253,2.0,0,0,1,3,7,3,8,0,0
1597,2.0,1059,2.0,1,4,0,3,5,1,4,0,0
1598,5.0,266,5.0,0,4,1,3,12,2,8,0,0
1599,2.0,428,2.0,0,2,1,1,5,2,4,1,0
1600,3.0,1708,3.0,0,0,1,3,5,3,4,0,0
1601,2.0,8,2.0,0,4,1,1,5,3,8,1,0
1602,4.0,4,4.0,0,0,0,3,12,3,8,0,0
1603,4.0,1075,4.0,1,3,1,3,5,3,8,0,0
1604,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1605,13.0,1018,6.5,1,0,1,1,12,3,12,1,0
1606,5.0,108,5.0,0,0,0,3,5,3,4,0,0
1607,3.0,202,3.0,0,0,0,3,10,4,8,0,1
1608,3.0,560,3.0,0,4,1,7,12,3,8,1,0
1609,7.0,1302,3.5,1,0,1,3,5,2,4,0,0
1610,4.0,416,4.0,0,0,1,3,12,3,8,0,0
1611,5.0,300,5.0,1,2,1,1,5,3,4,1,0
1612,3.0,1459,3.0,1,0,1,3,12,3,12,0,0
1613,4.0,255,4.0,0,2,1,3,10,3,10,0,0
1614,1.0,1046,1.0,1,0,2,14,10,3,10,0,0
1615,0.0,0,0.0,1,0,0,6,12,3,12,0,0
1616,8.0,180,2.67,0,0,0,6,9,3,8,0,0
1617,13.0,1667,4.33,1,0,0,3,12,2,12,0,0
1618,0.0,0,0.0,0,0,2,14,12,3,8,0,0
1619,2.0,1576,2.0,1,0,0,3,12,3,12,0,0
1620,5.0,651,5.0,0,0,1,3,13,2,8,0,0
1621,0.0,0,0.0,0,0,0,6,5,3,8,0,0
1622,2.0,234,2.0,0,0,0,3,3,3,8,0,0
1623,5.0,129,5.0,0,0,1,3,12,3,8,1,0
1624,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1625,3.0,1499,3.0,1,0,1,3,12,2,12,0,0
1626,6.0,71,6.0,0,1,1,3,5,3,4,0,0
1627,2.0,53,2.0,0,0,0,3,12,3,8,0,0
1628,0.0,0,0.0,1,0,0,6,5,3,4,0,0
1629,0.0,0,0.0,0,0,0,6,12,3,8,0,0
1630,3.0,489,3.0,1,4,0,3,5,1,4,0,0
1631,5.0,1013,5.0,1,2,1,3,5,1,4,0,0
1632,2.0,702,2.0,0,0,0,1,9,3,8,0,0
1633,0.0,0,0.0,0,2,3,2,12,3,8,0,0
1634,3.0,289,2.0,0,0,3,2,5,3,8,0,0
1635,0.0,0,0.0,0,2,3,2,5,3,8,0,0
1636,0.0,0,0.0,0,0,3,2,12,3,8,0,0
1637,0.0,0,0.0,1,0,3,2,5,0,4,0,0
1638,0.0,0,0.0,1,2,3,2,5,0,4,0,0
1639,0.0,0,0.0,0,0,3,2,5,3,8,0,0
1640,8.0,76,8.0,0,4,3,2,5,3,4,0,0
1641,0.0,0,0.0,0,2,3,2,5,3,4,0,0
1642,0.0,0,0.0,1,0,3,2,5,2,4,0,0
1643,0.0,0,0.0,1,0,3,2,5,2,4,0,0
1644,0.0,0,0.0,1,0,3,2,12,2,8,0,0
1645,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1646,2.0,925,2.0,1,0,0,3,9,3,8,0,0
1647,2.0,1184,2.0,1,4,1,13,5,1,4,0,0
1648,4.0,263,1.33,1,2,0,6,5,3,4,0,0
1649,3.0,949,3.0,1,0,1,3,5,3,4,0,0
1650,5.0,220,5.0,0,0,0,3,9,3,8,0,0
1651,3.0,812,3.0,1,0,1,1,12,2,12,1,0
1652,3.0,1213,1.5,1,0,0,3,5,3,4,0,0
1653,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1654,4.0,239,4.0,0,2,1,3,12,3,8,0,0
1655,3.0,1622,3.0,1,0,1,3,5,3,4,0,0
1656,4.0,177,4.0,0,1,1,1,5,3,4,1,0
1657,1.0,216,1.0,0,0,0,6,9,3,8,0,0
1658,0.0,0,0.0,0,0,0,6,9,4,8,0,0
1659,7.0,268,7.0,0,0,1,1,5,3,4,1,0
1660,5.0,282,1.67,0,2,1,3,12,3,8,0,0
1661,2.0,367,2.0,0,0,1,1,13,3,8,0,1
1662,14.0,174,2.8,0,0,0,3,10,2,10,0,0
1663,0.0,0,0.0,1,0,2,14,12,3,8,0,0
1664,2.0,316,2.0,0,0,1,1,5,3,8,0,0
1665,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1666,0.0,0,0.0,1,0,0,6,12,3,12,0,0
1667,4.0,1167,1.33,1,4,0,3,5,0,4,0,0
1668,7.0,1320,1.75,0,0,0,3,5,3,4,0,0
1669,3.0,1083,3.0,0,4,1,3,2,3,1,1,1
1670,10.0,432,1.67,0,0,1,1,14,3,14,1,1
1671,2.0,157,2.0,0,0,0,3,5,3,4,0,0
1672,2.0,407,1.0,0,0,0,3,10,3,8,0,0
1673,6.0,950,6.0,0,0,1,3,2,4,8,1,1
1674,3.0,100,3.0,0,0,1,1,12,3,8,0,0
1675,8.0,2137,8.0,1,0,1,3,12,2,12,0,0
1676,10.0,1131,5.0,1,0,1,3,5,1,8,0,0
1677,6.0,5,6.0,0,0,1,1,10,3,10,1,0
1678,4.0,932,2.0,1,0,0,3,5,2,4,0,0
1679,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1680,2.0,531,1.0,0,0,0,3,14,3,14,0,1
1681,0.0,0,0.0,0,0,0,6,3,3,8,0,0
1682,0.0,0,0.0,1,0,2,10,8,0,8,0,0
1683,0.0,0,0.0,1,0,2,10,5,0,4,0,0
1684,5.0,240,5.0,0,0,1,3,5,3,8,0,0
1685,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1686,3.0,1041,3.0,0,0,1,1,12,3,8,1,0
1687,3.0,155,3.0,0,3,1,7,10,4,8,1,0
1688,2.0,11,2.0,0,0,0,3,9,3,8,0,0
1689,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1690,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1691,2.0,59,2.0,0,4,1,1,12,3,8,0,0
1692,0.0,0,0.0,0,0,0,6,5,3,8,0,0
1693,3.0,1250,3.0,1,0,1,1,12,3,12,1,0
1694,0.0,0,0.0,0,0,0,6,12,3,8,0,0
1695,0.0,0,0.0,0,0,0,6,5,2,4,0,0
1696,3.0,803,3.0,1,0,1,1,3,3,2,1,1
1697,14.0,148,14.0,0,0,0,3,5,3,4,0,0
1698,5.0,1024,5.0,1,0,1,3,5,1,4,0,0
1699,4.0,46,2.0,0,0,0,3,9,3,8,0,0
1700,4.0,1590,4.0,1,0,1,3,5,2,4,0,0
1701,6.0,361,6.0,0,0,1,3,5,3,4,0,0
1702,4.0,85,4.0,0,0,1,3,5,3,4,0,0
1703,3.0,37,3.0,0,0,0,3,5,3,4,0,0
1704,4.0,262,4.0,1,3,0,3,12,1,8,0,0
1705,3.0,559,3.0,0,1,1,3,5,3,4,0,0
1706,5.0,314,5.0,0,0,1,7,5,3,4,1,0
1707,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1708,3.0,276,3.0,0,1,1,7,12,3,8,1,0
1709,0.0,0,0.0,1,0,2,10,12,2,12,0,0
1710,2.0,1734,2.0,1,0,0,3,5,1,8,0,0
1711,6.0,152,6.0,0,0,1,3,5,3,4,0,0
1712,7.0,265,1.75,0,4,1,1,10,3,10,1,0
1713,7.0,1115,7.0,0,0,1,3,12,3,8,1,1
1714,4.0,1295,4.0,1,1,0,3,12,0,12,0,1
1715,4.0,108,4.0,0,0,1,3,12,3,8,0,0
1716,2.0,1290,2.0,1,0,0,3,12,2,8,0,0
1717,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1718,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1719,4.0,436,4.0,0,1,1,7,5,3,4,1,0
1720,3.0,736,3.0,1,1,0,3,5,1,4,0,0
1721,5.0,1459,5.0,1,4,1,1,5,1,4,1,0
1722,2.0,811,2.0,1,2,1,1,5,2,4,1,0
1723,7.0,1460,7.0,1,3,1,7,5,2,4,1,0
1724,2.0,227,2.0,0,0,1,1,5,3,4,1,0
1725,2.0,76,2.0,0,0,1,1,5,3,4,1,0
1726,8.0,241,8.0,0,0,1,7,12,4,8,1,0
1727,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1728,4.0,562,4.0,1,3,1,7,12,2,12,1,0
1729,7.0,1126,7.0,1,0,1,1,5,3,4,1,0
1730,1.0,1716,1.0,1,0,1,3,1,1,8,0,0
1731,3.0,534,1.5,1,4,1,7,5,0,4,0,0
1732,2.0,30,2.0,0,0,0,7,5,3,4,0,0
1733,9.0,1442,4.5,0,0,1,1,12,2,8,1,0
1734,1.0,1156,1.0,0,3,1,1,1,3,8,1,0
1735,4.0,434,4.0,0,0,1,3,5,3,4,0,0
1736,0.0,0,0.0,0,0,0,6,5,3,8,0,0
1737,3.0,166,1.5,1,0,0,6,5,1,4,0,0
1738,5.0,80,2.5,0,0,1,1,10,3,10,0,0
1739,2.0,1948,2.0,1,1,1,1,12,2,12,1,0
1740,3.0,986,3.0,0,0,1,7,13,3,8,1,0
1741,22.0,601,1.38,0,1,1,1,10,3,10,1,1
1742,5.0,448,5.0,0,1,1,7,5,3,4,1,0
1743,2.0,199,2.0,0,3,1,1,5,3,4,1,0
1744,5.0,786,5.0,1,0,0,3,9,3,9,0,0
1745,0.0,0,0.0,1,4,0,6,5,1,4,0,0
1746,0.0,0,0.0,1,0,2,3,12,3,8,0,0
1747,2.0,1528,2.0,1,0,0,3,12,0,12,0,0
1748,2.0,1232,2.0,1,0,1,1,12,2,12,1,0
1749,2.0,1188,1.0,0,0,1,3,2,4,8,0,0
1750,6.0,1049,6.0,0,0,1,3,12,2,8,0,0
1751,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1752,0.0,0,0.0,1,0,0,6,5,3,4,0,0
1753,0.0,0,0.0,1,0,2,10,12,2,12,0,0
1754,4.0,1219,1.0,1,0,0,3,5,3,8,0,0
1755,4.0,198,4.0,0,4,1,3,5,3,4,0,0
1756,3.0,1334,3.0,0,4,1,3,5,3,4,0,0
1757,4.0,375,4.0,0,3,1,1,5,3,4,1,0
1758,0.0,0,0.0,1,2,2,14,5,0,4,0,0
1759,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1760,12.0,1261,4.0,0,0,1,3,12,3,8,1,0
1761,2.0,594,1.0,1,0,0,3,12,1,12,0,0
1762,3.0,295,3.0,0,0,1,3,5,3,4,0,0
1763,3.0,271,3.0,0,0,0,3,9,3,8,0,0
1764,0.0,0,0.0,1,0,0,6,5,3,8,0,0
1765,0.0,0,0.0,1,0,2,14,12,3,12,0,0
1766,5.0,1211,2.5,1,2,1,3,5,0,4,0,0
1767,0.0,0,0.0,1,0,2,10,12,2,12,0,0
1768,0.0,0,0.0,0,0,0,6,9,3,8,0,0
1769,3.0,1275,3.0,0,0,0,3,12,3,8,0,0
1770,4.0,1506,4.0,1,2,1,3,12,3,12,0,0
1771,3.0,1021,3.0,1,0,0,3,5,0,4,0,0
1772,2.0,342,2.0,0,0,0,3,12,4,8,0,1
1773,2.0,681,1.0,1,0,0,3,12,3,12,0,0
1774,3.0,1264,3.0,1,1,1,7,1,1,8,1,0
1775,5.0,949,1.0,0,0,0,1,9,3,8,0,0
1776,5.0,371,2.5,0,0,1,3,7,3,8,0,0
1777,2.0,426,1.0,0,0,0,3,5,3,4,0,0
1778,3.0,491,3.0,0,3,1,1,5,3,4,1,0
1779,6.0,99,6.0,1,4,1,1,5,3,4,1,0
1780,3.0,555,1.5,1,0,2,14,5,3,8,0,0
1781,3.0,505,1.5,0,0,0,3,5,3,4,0,0
1782,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1783,0.0,0,0.0,1,4,2,10,5,1,4,0,0
1784,0.0,0,0.0,0,0,0,6,5,3,4,0,0
1785,4.0,1732,4.0,0,0,0,3,3,3,8,0,0
1786,0.0,0,0.0,1,0,0,6,12,3,12,0,0
1787,4.0,32,4.0,0,4,1,3,2,4,8,0,1
1788,11.0,1714,5.5,1,0,1,3,5,1,4,0,0
