,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
2674,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2675,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2676,Lead Add Form,Google,0.0,0,0.0,SMS Sent,High in Relevance,Other Cities of Maharashtra,SMS Sent,No,No,1
2677,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2678,API,Google,5.0,372,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2679,Landing Page Submission,Google,3.0,686,3.0,SMS Sent,Might be,Mumbai,Modified,No,No,0
2680,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2681,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2682,Landing Page Submission,Organic Search,3.0,1589,3.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
2683,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2684,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2685,Landing Page Submission,Google,4.0,1847,2.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
2686,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2687,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2688,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2689,Landing Page Submission,Google,5.0,23,5.0,Email Opened,Low in Relevance,Other Cities of Maharashtra,Email Opened,No,No,1
2690,Landing Page Submission,Google,4.0,379,4.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2691,Landing Page Submission,Organic Search,7.0,945,3.5,Email Opened,Not Sure,Other Cities,Modified,Yes,No,0
2692,Landing Page Submission,Google,6.0,1806,3.0,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
2693,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2694,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2695,Landing Page Submission,Google,5.0,479,2.5,Email Opened,Might be,Thane & Outskirts,Email Opened,No,No,1
2696,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2697,Landing Page Submission,Google,3.0,124,1.5,Email Opened,Not Sure,Thane & Outskirts,Modified,No,No,0
2698,Landing Page Submission,Direct Traffic,4.0,42,4.0,Unsubscribed,Not Sure,Other Metro Cities,Modified,Yes,Yes,0
2699,API,Google,2.0,97,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2700,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2701,Landing Page Submission,Direct Traffic,2.0,73,2.0,SMS Sent,Might be,Other Cities,Modified,Yes,No,0
2702,Landing Page Submission,Google,4.0,208,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2703,Landing Page Submission,Google,8.0,68,4.0,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
2704,Landing Page Submission,Google,3.0,1314,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
2705,API,Google,2.0,1494,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2706,Landing Page Submission,Organic Search,5.0,186,5.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,No,0
2707,API,Olark Chat,0.0,0,0.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
2708,Landing Page Submission,Organic Search,3.0,438,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
2709,Landing Page Submission,Google,4.0,1412,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2710,API,Google,2.0,940,1.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2711,Landing Page Submission,Google,3.0,510,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
2712,API,Google,3.0,252,3.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
2713,Landing Page Submission,Direct Traffic,2.0,1849,2.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
2714,Landing Page Submission,Direct Traffic,8.0,1484,8.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
2715,Landing Page Submission,Organic Search,6.0,136,6.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,No,0
2716,Landing Page Submission,Google,5.0,1669,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2717,Landing Page Submission,Google,3.0,95,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
2718,Landing Page Submission,Google,2.0,389,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2719,Landing Page Submission,Google,5.0,301,5.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,1
2720,Landing Page Submission,Direct Traffic,2.0,504,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
2721,Landing Page Submission,Direct Traffic,3.0,69,1.5,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
2722,Landing Page Submission,Google,2.0,761,2.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2723,Landing Page Submission,Google,6.0,332,6.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2724,API,Google,3.0,55,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2725,Landing Page Submission,Direct Traffic,3.0,765,3.0,SMS Sent,Might be,Mumbai,Modified,Yes,No,1
2726,Landing Page Submission,Direct Traffic,5.0,586,5.0,Converted to Lead,High in Relevance,Other Cities of Maharashtra,Modified,Yes,No,1
2727,Landing Page Submission,Google,8.0,1641,4.0,Page Visited on Website,Might be,Mumbai,Page Visited on Website,No,No,1
2728,Landing Page Submission,Direct Traffic,3.0,519,3.0,Page Visited on Website,Not Sure,Thane & Outskirts,Modified,No,No,0
2729,Landing Page Submission,Google,4.0,1276,4.0,SMS Sent,Not Sure,Other Metro Cities,SMS Sent,No,No,1
2730,Landing Page Submission,Direct Traffic,2.0,257,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2731,API,Direct Traffic,1.0,263,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
2732,API,Google,1.0,36,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
2733,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2734,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Low in Relevance,Thane & Outskirts,Email Opened,No,No,1
2735,Landing Page Submission,Direct Traffic,9.0,354,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2736,API,Google,2.0,2,2.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2737,Landing Page Submission,Organic Search,4.0,582,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2738,API,Google,8.0,518,2.67,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
2739,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2740,Landing Page Submission,Organic Search,3.0,1003,3.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,No,No,0
2741,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2742,Landing Page Submission,Google,2.0,1007,2.0,Email Opened,Might be,Thane & Outskirts,Modified,No,No,0
2743,API,Google,3.0,156,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2744,API,Google,2.0,1392,1.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
2745,Landing Page Submission,Direct Traffic,3.0,54,3.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
2746,Landing Page Submission,Google,3.0,734,3.0,Email Opened,Low in Relevance,Thane & Outskirts,Modified,Yes,No,1
2747,Landing Page Submission,Direct Traffic,4.0,196,4.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,Yes,No,0
2748,Landing Page Submission,Google,2.0,1349,2.0,SMS Sent,Might be,Other Cities,SMS Sent,No,No,1
2749,Landing Page Submission,Google,3.0,159,3.0,Email Opened,Might be,Other Cities of Maharashtra,Email Opened,No,No,0
2750,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2751,API,Google,2.0,1001,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
2752,Landing Page Submission,Google,3.0,57,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2753,Landing Page Submission,Direct Traffic,2.0,349,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2754,API,Google,2.0,139,1.0,Email Bounced,Not Sure,Mumbai,Email Bounced,No,Yes,0
2755,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
2756,API,Olark Chat,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2757,API,Olark Chat,4.0,936,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
2758,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2759,Landing Page Submission,Direct Traffic,2.0,555,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2760,API,Google,2.0,1241,1.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2761,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2762,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,High in Relevance,Mumbai,Modified,No,No,1
2763,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2764,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,Modified,No,No,1
2765,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2766,Landing Page Submission,Google,3.0,393,3.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2767,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2768,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,High in Relevance,Other Cities,Modified,No,No,1
2769,API,Direct Traffic,17.0,1194,1.31,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,1
2770,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
2771,Landing Page Submission,Direct Traffic,3.0,73,3.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
2772,API,Google,3.0,28,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2773,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
2774,Landing Page Submission,Direct Traffic,3.0,279,3.0,Page Visited on Website,Not Sure,Other Cities of Maharashtra,Modified,Yes,No,0
2775,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2776,API,Google,2.0,70,1.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2777,API,Google,2.0,4,2.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2778,API,Google,3.0,562,3.0,Email Opened,Low in Relevance,Thane & Outskirts,Modified,No,No,0
2779,API,Google,3.0,23,1.5,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2780,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2781,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2782,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2783,Landing Page Submission,Google,5.0,1178,5.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,1
2784,Landing Page Submission,Google,16.0,1253,3.2,Email Link Clicked,Might be,Thane & Outskirts,Email Link Clicked,No,No,1
2785,Landing Page Submission,Direct Traffic,2.0,280,2.0,SMS Sent,Low in Relevance,Thane & Outskirts,Modified,No,No,1
2786,Lead Add Form,Reference,3.0,1010,2.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
2787,Landing Page Submission,Direct Traffic,4.0,1055,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,Yes,1
2788,API,Google,4.0,105,4.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2789,Landing Page Submission,Organic Search,5.0,269,5.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
2790,Landing Page Submission,Direct Traffic,1.0,1538,1.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
2791,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2792,API,Google,2.0,123,2.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
2793,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2794,API,Organic Search,5.0,579,5.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2795,Landing Page Submission,Google,4.0,257,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2796,Landing Page Submission,Organic Search,7.0,481,2.33,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2797,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2798,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2799,Landing Page Submission,Google,15.0,1053,5.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
2800,Landing Page Submission,Google,4.0,326,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2801,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2802,API,Google,2.0,122,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2803,Landing Page Submission,Google,4.0,244,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
2804,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2805,Landing Page Submission,Google,4.0,59,4.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
2806,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2807,API,Google,7.0,958,1.75,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,1
2808,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2809,Landing Page Submission,Google,3.0,1357,3.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
2810,Landing Page Submission,Google,4.0,428,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2811,Landing Page Submission,Referral Sites,3.0,132,3.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
2812,Landing Page Submission,Direct Traffic,7.0,1720,2.33,SMS Sent,Might be,Other Cities,Modified,No,No,0
2813,API,Olark Chat,0.0,0,0.0,Email Bounced,Not Sure,Mumbai,Modified,No,No,0
2814,Landing Page Submission,Direct Traffic,3.0,248,1.5,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,1
2815,API,Olark Chat,12.0,935,4.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,Yes,Yes,0
2816,Landing Page Submission,Google,5.0,161,5.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,No,No,0
2817,Landing Page Submission,Google,2.0,1095,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2818,API,Google,2.0,465,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2819,Landing Page Submission,Direct Traffic,6.0,920,2.0,Page Visited on Website,Not Sure,Thane & Outskirts,Page Visited on Website,Yes,No,1
2820,Landing Page Submission,Organic Search,3.0,191,3.0,SMS Sent,Not Sure,Other Metro Cities,SMS Sent,Yes,No,1
2821,Landing Page Submission,Direct Traffic,6.0,94,2.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,Yes,No,0
2822,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2823,Landing Page Submission,Google,5.0,15,5.0,Email Link Clicked,Not Sure,Other Cities of Maharashtra,Email Link Clicked,Yes,No,0
2824,Landing Page Submission,Direct Traffic,5.0,6,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,No,0
2825,Landing Page Submission,Direct Traffic,15.0,69,3.0,Form Submitted on Website,Worst,Thane & Outskirts,Modified,No,No,0
2826,Landing Page Submission,Direct Traffic,7.0,1273,7.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
2827,API,Google,2.0,70,2.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2828,Landing Page Submission,Google,5.0,676,5.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2829,API,Google,1.0,192,1.0,Converted to Lead,Low in Relevance,Mumbai,Modified,No,No,0
2830,Landing Page Submission,Google,9.0,890,9.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
2831,Landing Page Submission,Direct Traffic,4.0,365,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2832,Landing Page Submission,Google,4.0,444,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2833,Landing Page Submission,Google,6.0,789,6.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2834,API,Google,5.0,644,5.0,Email Opened,Not Sure,Thane & Outskirts,Modified,No,No,0
2835,API,Google,3.0,1516,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2836,Landing Page Submission,Google,5.0,129,2.5,Form Submitted on Website,Low in Relevance,Thane & Outskirts,Modified,No,No,1
2837,Landing Page Submission,Google,5.0,251,5.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2838,Landing Page Submission,Google,4.0,182,4.0,Unreachable,Not Sure,Thane & Outskirts,Modified,No,No,0
2839,Landing Page Submission,Direct Traffic,5.0,215,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,Yes,0
2840,Landing Page Submission,Google,3.0,26,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
2841,API,Google,5.0,921,5.0,SMS Sent,Low in Relevance,Thane & Outskirts,Modified,No,No,1
2842,Landing Page Submission,Direct Traffic,6.0,52,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
2843,Landing Page Submission,Google,8.0,242,1.6,Form Submitted on Website,Might be,Mumbai,Modified,No,No,0
2844,Landing Page Submission,Direct Traffic,4.0,1655,1.33,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
2845,API,Google,1.0,255,1.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
2846,Landing Page Submission,Google,5.0,637,2.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2847,Landing Page Submission,Google,5.0,104,5.0,Email Opened,Not Sure,Other Cities,Email Opened,No,No,0
2848,Landing Page Submission,Google,2.0,93,2.0,Form Submitted on Website,Not Sure,Mumbai,Modified,Yes,No,0
2849,API,Google,2.0,41,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2850,Landing Page Submission,Direct Traffic,4.0,20,4.0,Email Opened,Worst,Mumbai,Modified,Yes,No,0
2851,Landing Page Submission,Google,3.0,797,3.0,Email Opened,Low in Relevance,Other Cities,Modified,No,No,1
2852,Landing Page Submission,Organic Search,7.0,1074,3.5,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
2853,Landing Page Submission,Direct Traffic,6.0,958,6.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,Yes,No,1
2854,Landing Page Submission,Google,4.0,906,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2855,Landing Page Submission,Organic Search,3.0,166,3.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
2856,API,Olark Chat,6.0,781,2.0,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
2857,API,Google,4.0,343,4.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
2858,Landing Page Submission,Google,4.0,231,4.0,SMS Sent,Not Sure,Mumbai,Modified,No,Yes,0
2859,Landing Page Submission,Google,2.0,1017,2.0,Email Bounced,Not Sure,Other Cities,Modified,No,Yes,0
2860,API,Olark Chat,4.0,1723,4.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
2861,Landing Page Submission,Organic Search,29.0,209,2.9,Page Visited on Website,Not Sure,Thane & Outskirts,Modified,Yes,No,0
2862,Landing Page Submission,Google,6.0,250,6.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
2863,Landing Page Submission,Organic Search,3.0,24,3.0,Converted to Lead,Not Sure,Other Metro Cities,Modified,Yes,No,0
2864,Landing Page Submission,Direct Traffic,2.0,403,2.0,Email Opened,Worst,Mumbai,Email Opened,No,No,0
2865,API,Google,10.0,16,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2866,Landing Page Submission,Google,4.0,422,2.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,1
2867,Landing Page Submission,Organic Search,8.0,297,8.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
2868,API,Google,2.0,803,2.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2869,Landing Page Submission,Google,4.0,1437,4.0,Page Visited on Website,Not Sure,Thane & Outskirts,Modified,No,No,0
2870,Landing Page Submission,Google,5.0,1464,5.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,1
2871,API,Olark Chat,0.0,0,0.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
2872,Landing Page Submission,Direct Traffic,2.0,954,2.0,Page Visited on Website,Not Sure,Other Cities,Modified,Yes,No,0
2873,Landing Page Submission,Google,4.0,494,4.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
2874,Landing Page Submission,Google,10.0,479,3.33,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
2875,Landing Page Submission,Google,11.0,442,5.5,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
2876,Landing Page Submission,welearnblog_Home,2.0,368,2.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,No,No,0
2877,Landing Page Submission,Google,5.0,183,2.5,SMS Sent,Might be,Other Cities,SMS Sent,Yes,No,1
2878,Landing Page Submission,Google,6.0,1332,2.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
2879,Landing Page Submission,Google,2.0,589,2.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
2880,Landing Page Submission,Google,3.0,4,3.0,Email Opened,Not Sure,Other Cities,Email Opened,No,No,0
2881,Landing Page Submission,Organic Search,7.0,448,2.33,Email Opened,Worst,Mumbai,Email Opened,No,No,0
2882,API,Google,16.0,436,1.23,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
2883,Landing Page Submission,Direct Traffic,1.0,44,1.0,Converted to Lead,Not Sure,Other Cities,Modified,Yes,No,0
2884,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
2885,Landing Page Submission,Direct Traffic,1.0,1185,1.0,Email Bounced,Not Sure,Other Metro Cities,Modified,Yes,Yes,0
2886,API,Google,3.0,1128,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
2887,Landing Page Submission,Direct Traffic,2.0,103,2.0,SMS Sent,Worst,Other Cities of Maharashtra,Modified,Yes,No,0
2888,Landing Page Submission,Google,12.0,766,6.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
2889,Landing Page Submission,Organic Search,3.0,149,3.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,Yes,No,0
2890,API,Google,4.0,1811,4.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
2891,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2892,API,Google,3.0,344,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2893,Landing Page Submission,Google,4.0,1093,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2894,Landing Page Submission,Google,5.0,1287,5.0,SMS Sent,Might be,Mumbai,Modified,No,No,1
2895,Landing Page Submission,Organic Search,4.0,502,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2896,Landing Page Submission,Google,2.0,1290,2.0,Converted to Lead,Low in Relevance,Mumbai,Modified,No,No,1
2897,Landing Page Submission,Organic Search,8.0,1355,8.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
2898,Landing Page Submission,Google,5.0,25,5.0,Email Bounced,Might be,Thane & Outskirts,Modified,No,Yes,0
2899,Landing Page Submission,Google,5.0,993,5.0,Email Opened,Worst,Mumbai,Modified,No,No,0
2900,Landing Page Submission,Google,5.0,96,1.67,Email Opened,Low in Relevance,Other Cities,Modified,Yes,No,1
2901,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
2902,Landing Page Submission,Google,4.0,234,4.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
2903,Landing Page Submission,Direct Traffic,1.0,62,1.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
2904,Landing Page Submission,Direct Traffic,6.0,1295,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
2905,Landing Page Submission,Google,5.0,551,5.0,Unsubscribed,Might be,Other Metro Cities,Unsubscribed,No,Yes,0
2906,API,Google,3.0,538,1.5,Email Opened,Not Sure,Mumbai,Modified,No,No,0
2907,Landing Page Submission,Organic Search,9.0,1623,2.25,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
2908,Landing Page Submission,Organic Search,7.0,37,7.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,Yes,0
2909,API,Olark Chat,1.0,241,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2910,Landing Page Submission,Google,7.0,159,2.33,Email Opened,Might be,Thane & Outskirts,Modified,No,No,0
2911,Landing Page Submission,Google,13.0,112,4.33,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
2912,API,Olark Chat,0.0,0,0.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,No,1
2913,Lead Add Form,Reference,0.0,0,0.0,Form Submitted on Website,High in Relevance,Mumbai,Modified,Yes,No,1
2914,Landing Page Submission,Direct Traffic,2.0,1119,2.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
2915,API,Google,2.0,270,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
2916,Landing Page Submission,Organic Search,4.0,639,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
2917,API,Olark Chat,0.0,0,0.0,SMS Sent,Worst,Mumbai,Modified,No,No,0
